,电影名,类型,票房,票价,人次,地区,上映时间,,,,,,,,
0,流浪地球,科幻,464624,45,29,中国,2019/2/5,,,,,,,,
1,疯狂的外星人,喜剧,220199,42,30,中国,2019/2/5,,,,,,,,
2,飞驰人生,喜剧,171658,42,25,中国,2019/2/5,,,,,,,,
3,大黄蜂,动作,114770,36,11,美国,2019/1/4,,,,,,,,
4,惊奇队长,动作,100192,37,14,美国,2019/3/8,,,,,,,,
5,阿丽塔：战斗天使,动作,89230,38,14,美国/加拿大/阿根廷,2019/2/22,,,,,,,,
6,比悲伤更悲伤的故事,爱情,87466,31,17,中国台湾,2019/3/14,,,,,,,,
7,熊出没・原始时代,动画,71356,39,22,中国,2019/2/5,,,,,,,,
8,新喜剧之王,喜剧,62445,43,24,中国/中国香港,2019/2/5,,,,,,,,
9,绿皮书,剧情,46650,33,13,美国,2019/3/1,,,,,,,,
10,白蛇：缘起,动画,44864,34,10,中国/美国,2019/1/11,,,,,,,,
11,“大”人物,动作,37868,36,9,中国,2019/1/10,,,,,,,,
12,来电狂响,喜剧,36689,35,10,中国,2018/12/28,,,,,,,,
13,驯龙高手3,动画,36264,36,11,美国,2019/3/1,,,,,,,,
14,死侍2：我爱我家,动作,28629,33,8,美国,2019/1/25,,,,,,,,
15,密室逃生,剧情,23218,32,10,美国,2019/1/18,,,,,,,,
16,一吻定情,爱情,17346,38,15,中国,2019/2/14,,,,,,,,
17,海王,动作,16023,35,9,美国,2018/12/7,,,,,,,,
18,神探蒲松龄,奇幻,15283,42,16,中国,2019/2/5,,,,,,,,
19,老师・好,剧情,14489,34,9,中国,2019/3/22,,,,,,,,
20,小猪佩奇过大年,动画,12427,42,18,中国,2019/2/5,,,,,,,,
21,夏目友人帐,动画,11430,30,9,日本,2019/3/7,,,,,,,,
22,廉政风云,剧情,11411,43,14,中国/中国香港,2019/2/5,,,,,,,,
23,蜘蛛侠：平行宇宙,动画,7319,36,8,美国,2018/12/21,,,,,,,,
24,波西米亚狂想曲,剧情,6292,39,13,美国/英国,2019/3/22,,,,,,,,
